route_id,route_short_name,route_long_name,route_type
-S49,-S49,,3
10,10,,3
100,100,,3
100A,100A,,3
101,101,,3
102,102,,3
103,103,,3
105,105,,3
106,106,,3
106A,106A,,3
107,107,,3
107M,107M,,3
109,109,,3
109A,109A,,3
10e,10e,,3
11,11,,3
111,111,,3
112,112,,3
113,113,,3
115,115,,3
116,116,,3
117,117,,3
118,118,,3
118A,118A,,3
118B,118B,,3
119,119,,3
12,12,,3
120,120,,3
121,121,,3
122,122,,3
123,123,,3
123M,123M,,3
124,124,,3
125,125,,3
127,127,,3
127A,127A,,3
128,128,,3
129,129,,3
13,13,,3
130,130,,3
131,131,,3
131M,131M,,3
132,132,,3
133,133,,3
134,134,,3
135,135,,3
135A,135A,,3
136,136,,3
138,138,,3
139,139,,3
139M,139M,,3
14,14,,3
140,140,,3
141,141,,3
142,142,,3
143,143,,3
143M,143M,,3
145,145,,3
147,147,,3
14e,14e,,3
15,15,,3
150,150,,3
151,151,,3
151e,151e,,3
153,153,,3
154,154,,3
155,155,,3
156,156,,3
157,157,,3
158,158,,3
159,159,,3
15A,15A,,3
16,16,,3
160,160,,3
161,161,,3
162,162,,3
162M,162M,,3
163,163,,3
163M,163M,,3
165,165,,3
166,166,,3
167,167,,3
168,168,,3
169,169,,3
169A,169A,,3
17,17,,3
170,170,,3
170A,170A,,3
170X,170X,,3
171,171,,3
172,172,,3
173,173,,3
173A,173A,,3
174,174,,3
174e,174e,,3
175,175,,3
176,176,,3
177,177,,3
178,178,,3
178A,178A,,3
179,179,,3
17A,17A,,3
18,18,,3
180,180,,3
180A,180A,,3
181,181,,3
181M,181M,,3
182,182,,3
182M,182M,,3
183,183,,3
183B,183B,,3
184,184,,3
185,185,,3
186,186,,3
187,187,,3
188,188,,3
188E,188E,,3
188R,188R,,3
189,189,,3
189A,189A,,3
19,19,,3
190,190,,3
190A,190A,,3
191,191,,3
192,192,,3
193,193,,3
194,194,,3
195,195,,3
196,196,,3
196e,196e,,3
197,197,,3
198,198,,3
199,199,,3
1N,1N,,3
2,2,,3
20,20,,3
200,200,,3
201,201,,3
21,21,,3
22,22,,3
222,222,,3
222B,222B,,3
225,225,,3
225G,225G,,3
225W,225W,,3
228,228,,3
229,229,,3
23,23,,3
231,231,,3
232,232,,3
235,235,,3
238,238,,3
24,24,,3
240,240,,3
240M,240M,,3
241,241,,3
242,242,,3
243,243,,3
243G,243G,,3
243W,243W,,3
246,246,,3
249,249,,3
25,25,,3
251,251,,3
252,252,,3
253,253,,3
254,254,,3
255,255,,3
256,256,,3
257,257,,3
258,258,,3
26,26,,3
261,261,,3
262,262,,3
265,265,,3
265A,265A,,3
268,268,,3
268B,268B,,3
268C,268C,,3
269,269,,3
27,27,,3
272,272,,3
273,273,,3
28,28,,3
282,282,,3
284,284,,3
285,285,,3
29,29,,3
291,291,,3
292,292,,3
293,293,,3
2N,2N,,3
3,3,,3
30,30,,3
300,300,,3
301,301,,3
302,302,,3
302A,302A,,3
307,307,,3
307A,307A,,3
308,308,,3
30e,30e,,3
31,31,,3
315,315,,3
317,317,,3
32,32,,3
324,324,,3
325,325,,3
33,33,,3
333,333,,3
334,334,,3
335,335,,3
33A,33A,,3
33B,33B,,3
34,34,,3
34A,34A,,3
35,35,,3
354,354,,3
358,358,,3
359,359,,3
35M,35M,,3
36,36,,3
36A,36A,,3
36B,36B,,3
37,37,,3
371,371,,3
372,372,,3
374,374,,3
38,38,,3
381,381,,3
382G,382G,,3
382W,382W,,3
386,386,,3
39,39,,3
3A,3A,,3
3B,3B,,3
3N,3N,,3
4,4,,3
40,40,,3
400,400,,3
401,401,,3
402,402,,3
403,403,,3
405,405,,3
41,41,,3
410,410,,3
410G,410G,,3
410W,410W,,3
42,42,,3
43,43,,3
43M,43M,,3
45,45,,3
46,46,,3
47,47,,3
48,48,,3
49,49,,3
4N,4N,,3
5,5,,3
50,50,,3
502,502,,3
502A,502A,,3
506,506,,3
51,51,,3
513,513,,3
518,518,,3
518A,518A,,3
52,52,,3
529,529,,3
53,53,,3
530,530,,3
531,531,,3
533,533,,3
534,534,,3
535,535,,3
536,536,,3
538,538,,3
539,539,,3
53A,53A,,3
53M,53M,,3
54,54,,3
544,544,,3
545,545,,3
546,546,,3
549,549,,3
55,55,,3
552,552,,3
553,553,,3
554,554,,3
555,555,,3
56,56,,3
560,560,,3
561,561,,3
563,563,,3
564,564,,3
565,565,,3
569,569,,3
57,57,,3
58,58,,3
585,585,,3
587,587,,3
588,588,,3
589,589,,3
58A,58A,,3
58B,58B,,3
59,59,,3
590,590,,3
598,598,,3
599,599,,3
5N,5N,,3
6,6,,3
60,60,,3
61,61,,3
62,62,,3
62A,62A,,3
63,63,,3
63M,63M,,3
64,64,,3
65,65,,3
653,653,,3
655,655,,3
656,656,,3
657,657,,3
66,66,,3
66A,66A,,3
66B,66B,,3
67,67,,3
67A,67A,,3
69,69,,3
6N,6N,,3
7,7,,3
70,70,,3
700,700,,3
700A,700A,,3
