trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
10:WD:0,05:00:00,05:00:00,75009,1,0
10:WD:0,05:02:00,05:02:00,76059,2,0.6
10:WD:0,05:04:00,05:04:00,76069,3,1.1
10:WD:0,05:08:00,05:08:00,96289,4,2.3
10:WD:0,05:09:00,05:09:00,96109,5,2.7
10:WD:0,05:11:00,05:11:00,85079,6,3.3
10:WD:0,05:12:00,05:12:00,85089,7,3.5
10:WD:0,05:13:00,05:13:00,85069,8,3.8
10:WD:0,05:14:00,05:14:00,85059,9,4.1
10:WD:0,05:15:00,05:15:00,85049,10,4.5
10:WD:0,05:17:00,05:17:00,85039,11,4.8
10:WD:0,05:17:00,05:17:00,85029,12,5
10:WD:0,05:18:00,05:18:00,85019,13,5.2
10:WD:0,05:19:00,05:19:00,94079,14,5.4
10:WD:0,05:20:00,05:20:00,94069,15,5.8
10:WD:0,05:21:00,05:21:00,94059,16,6.1
10:WD:0,05:22:00,05:22:00,94049,17,6.5
10:WD:0,05:22:00,05:22:00,94089,18,6.7
10:WD:0,05:23:00,05:23:00,94039,19,7
10:WD:0,05:24:00,05:24:00,94029,20,7.4
10:WD:0,05:25:00,05:25:00,94019,21,7.6
10:WD:0,05:26:00,05:26:00,93099,22,8
10:WD:0,05:27:00,05:27:00,93089,23,8.5
10:WD:0,05:28:00,05:28:00,93079,24,8.8
10:WD:0,05:29:00,05:29:00,93069,25,9.1
10:WD:0,05:30:00,05:30:00,93059,26,9.5
10:WD:0,05:31:00,05:31:00,92159,27,9.8
10:WD:0,05:33:00,05:33:00,92149,28,10.1
10:WD:0,05:34:00,05:34:00,92139,29,10.4
10:WD:0,05:35:00,05:35:00,92129,30,10.9
10:WD:0,05:37:00,05:37:00,92119,31,11.4
10:WD:0,05:38:00,05:38:00,92109,32,11.6
10:WD:0,05:39:00,05:39:00,92099,33,11.9
10:WD:0,05:41:00,05:41:00,92161,34,12.4
10:WD:0,05:42:00,05:42:00,82071,35,12.8
10:WD:0,05:43:00,05:43:00,81199,36,13.6
10:WD:0,05:44:00,05:44:00,81189,37,13.9
10:WD:0,05:45:00,05:45:00,81179,38,14.4
10:WD:0,05:46:00,05:46:00,80141,39,15
10:WD:0,05:47:00,05:47:00,80219,40,15.7
10:WD:0,05:50:00,05:50:00,80169,41,17.1
10:WD:0,05:52:00,05:52:00,80159,42,17.8
10:WD:0,05:53:00,05:53:00,02119,43,18.3
10:WD:0,05:56:00,05:56:00,03019,44,19.3
10:WD:0,05:57:00,05:57:00,03059,45,19.6
10:WD:0,05:58:00,05:58:00,03129,46,20
10:WD:0,05:59:00,05:59:00,03217,47,20.4
10:WD:0,06:02:00,06:02:00,05649,48,21.3
10:WD:0,06:03:00,06:03:00,14061,49,21.6
10:WD:0,06:04:00,06:04:00,14071,50,22.1
10:WD:0,06:06:00,06:06:00,14081,51,22.5
10:WD:0,06:07:00,06:07:00,14101,52,22.9
10:WD:0,06:09:00,06:09:00,14141,53,23.7
10:WD:0,06:10:00,06:10:00,14121,54,24
10:WD:0,06:11:00,06:11:00,14131,55,24.4
10:WD:0,06:12:00,06:12:00,14151,56,24.9
10:WD:0,06:13:00,06:13:00,14161,57,25.3
10:WD:0,06:14:00,06:14:00,14171,58,25.7
10:WD:0,06:16:00,06:16:00,15141,59,26.4
10:WD:0,06:17:00,06:17:00,15151,60,26.7
10:WD:0,06:18:00,06:18:00,15161,61,26.9
10:WD:0,06:19:00,06:19:00,15191,62,27.4
10:WD:0,06:20:00,06:20:00,15201,63,27.7
10:WD:0,06:21:00,06:21:00,15221,64,28.3
10:WD:0,06:22:00,06:22:00,16201,65,28.6
10:WD:0,06:23:00,06:23:00,16011,66,28.9
10:WD:0,06:24:00,06:24:00,16021,67,29.4
10:WD:0,06:25:00,06:25:00,16031,68,29.7
10:WD:0,06:25:00,06:25:00,16041,69,29.9
10:WD:0,06:26:00,06:26:00,16051,70,30.2
10:WD:0,06:26:00,06:26:00,16061,71,30.4
10:WD:0,06:27:00,06:27:00,16071,72,30.7
10:WD:0,06:28:00,06:28:00,16081,73,31
10:WD:0,06:30:00,06:30:00,16009,74,31.5
10:WD:1,06:00:00,06:00:00,16009,1,0
10:WD:1,06:01:00,06:01:00,16089,2,0.4
10:WD:1,06:02:00,06:02:00,16079,3,0.6
