trip_id,route_id,service_id,direction_id
118:WD:0,118,WD,0
118:WD:1,118,WD,1
118A:WD:0,118A,WD,0
118B:WD:0,118B,WD,0
119:WD:0,119,WD,0
12:WD:0,12,WD,0
12:WD:1,12,WD,1
136:WD:0,136,WD,0
136:WD:1,136,WD,1
15:WD:0,15,WD,0
15A:WD:0,15A,WD,0
17:WD:0,17,WD,0
17:WD:1,17,WD,1
17A:WD:0,17A,WD,0
2:WD:0,2,WD,0
2:WD:1,2,WD,1
3:WD:0,3,WD,0
3:WD:1,3,WD,1
34:WD:0,34,WD,0
34A:WD:0,34A,WD,0
354:WD:0,354,WD,0
358:WD:0,358,WD,0
359:WD:0,359,WD,0
36:WD:0,36,WD,0
36A:WD:0,36A,WD,0
36B:WD:0,36B,WD,0
381:WD:0,381,WD,0
382G:WD:0,382G,WD,0
382W:WD:0,382W,WD,0
386:WD:0,386,WD,0
3A:WD:0,3A,WD,0
3B:WD:0,3B,WD,0
403:WD:0,403,WD,0
43:WD:0,43,WD,0
43:WD:1,43,WD,1
43M:WD:0,43M,WD,0
518:WD:0,518,WD,0
518A:WD:0,518A,WD,0
6:WD:0,6,WD,0
62:WD:0,62,WD,0
62A:WD:0,62A,WD,0
82:WD:0,82,WD,0
83:WD:0,83,WD,0
84:WD:0,84,WD,0
85:WD:0,85,WD,0
85:WD:1,85,WD,1
10:WD:0,10,WD,0
10:WD:1,10,WD,1
100:WD:0,100,WD,0
100:WD:1,100,WD,1
100A:WD:0,100A,WD,0
101:WD:0,101,WD,0
102:WD:0,102,WD,0
103:WD:0,103,WD,0
103:WD:1,103,WD,1
105:WD:0,105,WD,0
105:WD:1,105,WD,1
107:WD:0,107,WD,0
107:WD:1,107,WD,1
107M:WD:0,107M,WD,0
109:WD:0,109,WD,0
109:WD:1,109,WD,1
109A:WD:0,109A,WD,0
10e:WD:0,10e,WD,0
10e:WD:1,10e,WD,1
11:WD:0,11,WD,0
111:WD:0,111,WD,0
112:WD:0,112,WD,0
113:WD:0,113,WD,0
115:WD:0,115,WD,0
116:WD:0,116,WD,0
117:WD:0,117,WD,0
117:WD:1,117,WD,1
120:WD:0,120,WD,0
121:WD:0,121,WD,0
122:WD:0,122,WD,0
123:WD:0,123,WD,0
123:WD:1,123,WD,1
123M:WD:0,123M,WD,0
124:WD:0,124,WD,0
124:WD:1,124,WD,1
125:WD:0,125,WD,0
127:WD:0,127,WD,0
127A:WD:0,127A,WD,0
128:WD:0,128,WD,0
128:WD:1,128,WD,1
129:WD:0,129,WD,0
129:WD:1,129,WD,1
13:WD:0,13,WD,0
13:WD:1,13,WD,1
130:WD:0,130,WD,0
130:WD:1,130,WD,1
131:WD:0,131,WD,0
131:WD:1,131,WD,1
131M:WD:0,131M,WD,0
132:WD:0,132,WD,0
132:WD:1,132,WD,1
133:WD:0,133,WD,0
133:WD:1,133,WD,1
134:WD:0,134,WD,0
135:WD:0,135,WD,0
135A:WD:0,135A,WD,0
138:WD:0,138,WD,0
139:WD:0,139,WD,0
139:WD:1,139,WD,1
139M:WD:0,139M,WD,0
14:WD:0,14,WD,0
14:WD:1,14,WD,1
140:WD:0,140,WD,0
141:WD:0,141,WD,0
141:WD:1,141,WD,1
142:WD:0,142,WD,0
145:WD:0,145,WD,0
145:WD:1,145,WD,1
147:WD:0,147,WD,0
147:WD:1,147,WD,1
14e:WD:0,14e,WD,0
14e:WD:1,14e,WD,1
150:WD:0,150,WD,0
151:WD:0,151,WD,0
151:WD:1,151,WD,1
151e:WD:0,151e,WD,0
151e:WD:1,151e,WD,1
153:WD:0,153,WD,0
153:WD:1,153,WD,1
154:WD:0,154,WD,0
154:WD:1,154,WD,1
155:WD:0,155,WD,0
155:WD:1,155,WD,1
156:WD:0,156,WD,0
156:WD:1,156,WD,1
157:WD:0,157,WD,0
157:WD:1,157,WD,1
158:WD:0,158,WD,0
159:WD:0,159,WD,0
159:WD:1,159,WD,1
16:WD:0,16,WD,0
16:WD:1,16,WD,1
160:WD:0,160,WD,0
161:WD:0,161,WD,0
161:WD:1,161,WD,1
162:WD:0,162,WD,0
162:WD:1,162,WD,1
162M:WD:0,162M,WD,0
163:WD:0,163,WD,0
163:WD:1,163,WD,1
163M:WD:0,163M,WD,0
165:WD:0,165,WD,0
165:WD:1,165,WD,1
166:WD:0,166,WD,0
166:WD:1,166,WD,1
168:WD:0,168,WD,0
168:WD:1,168,WD,1
170:WD:0,170,WD,0
